time,ax,ay,az,atotal
5.937,0.06,-0.08,-0.04,0.11
5.947,0.04,-0.07,-0.05,0.09
5.957,0.03,-0.04,-0.05,0.07
5.967,0.02,-0.00,-0.05,0.05
5.977,0.01,0.01,-0.04,0.04
5.987,0.01,-0.00,-0.02,0.03
5.997,0.02,0.00,-0.00,0.02
6.007,0.02,0.02,0.01,0.03
6.017,0.02,0.04,0.02,0.05
6.027,0.04,0.03,0.03,0.06
6.037,0.05,0.02,0.06,0.07
6.047,0.04,0.01,0.09,0.10
6.057,0.04,0.01,0.09,0.10
6.067,0.02,0.01,0.10,0.10
6.077,0.02,0.01,0.10,0.10
6.087,0.02,0.01,0.11,0.11
6.097,0.01,0.02,0.10,0.10
6.107,0.03,-0.00,0.08,0.08
6.117,0.02,-0.00,0.06,0.06
6.127,0.04,-0.00,0.07,0.08
6.137,0.04,0.01,0.03,0.05
6.147,0.05,0.01,0.00,0.05
6.157,0.05,0.01,0.00,0.05
6.167,0.06,-0.00,-0.00,0.06
6.177,0.04,0.00,-0.00,0.04
6.187,0.05,-0.01,-0.01,0.05
6.197,0.04,-0.02,-0.01,0.05
6.207,0.03,-0.02,0.01,0.04
6.217,0.03,-0.01,0.01,0.03
6.227,0.03,-0.01,0.04,0.05
6.237,0.03,-0.01,0.05,0.06
6.247,0.05,0.01,0.05,0.08
6.257,0.07,0.00,0.06,0.09
6.267,0.07,-0.00,0.07,0.10
6.277,0.07,-0.01,0.07,0.10
6.287,0.07,0.01,0.07,0.10
6.297,0.06,0.01,0.08,0.10
6.307,0.04,0.01,0.06,0.08
6.317,0.01,0.01,0.06,0.07
6.327,0.01,0.01,0.07,0.07
6.337,-0.01,0.02,0.07,0.07
6.347,-0.03,0.03,0.06,0.07
6.357,-0.03,0.03,0.05,0.06
6.366,-0.00,0.01,0.06,0.06
6.377,0.02,-0.01,0.03,0.03
6.386,0.04,-0.02,0.01,0.05
6.397,0.07,-0.01,-0.01,0.07
6.406,0.08,-0.00,-0.02,0.08
6.416,0.08,0.01,-0.04,0.09
6.426,0.10,0.01,-0.05,0.12
6.436,0.11,-0.01,-0.03,0.12
6.446,0.11,-0.05,-0.02,0.12
6.456,0.09,-0.06,0.01,0.11
6.466,0.09,-0.04,0.02,0.10
6.476,0.08,-0.02,0.03,0.09
6.486,0.06,0.01,0.02,0.06
6.496,0.03,0.03,0.05,0.06
6.506,0.02,0.02,0.05,0.06
6.516,0.02,0.02,0.07,0.08
6.526,-0.01,0.02,0.08,0.08
6.536,-0.01,0.03,0.08,0.09
6.546,-0.01,0.02,0.08,0.08
6.556,0.02,0.00,0.08,0.08
6.566,0.03,0.02,0.10,0.10
