time,ax,ay,az,atotal
6.087,0.12,0.04,-0.03,0.13
6.097,0.12,0.04,-0.01,0.12
6.106,0.11,0.02,0.01,0.11
6.117,0.12,0.00,0.02,0.12
6.126,0.12,-0.01,0.03,0.12
6.137,0.11,-0.02,0.05,0.12
6.146,0.09,-0.05,0.05,0.12
6.156,0.06,-0.06,0.08,0.12
6.166,0.05,-0.04,0.08,0.10
6.176,0.05,-0.00,0.08,0.09
6.186,0.05,0.01,0.06,0.08
6.196,0.07,0.01,0.03,0.08
6.206,0.04,-0.05,0.01,0.07
6.216,0.01,-0.10,-0.03,0.10
6.226,0.00,-0.11,-0.05,0.12
6.236,0.02,-0.06,-0.07,0.09
6.246,0.05,0.01,-0.09,0.10
6.256,0.10,0.05,-0.12,0.16
6.266,0.12,0.05,-0.12,0.18
6.276,0.12,0.03,-0.12,0.18
6.286,0.12,-0.00,-0.14,0.19
6.296,0.13,0.03,-0.13,0.19
6.306,0.15,0.09,-0.09,0.20
6.316,0.18,0.13,-0.09,0.24
6.326,0.19,0.14,-0.07,0.24
6.336,0.17,0.10,-0.08,0.21
6.346,0.14,0.06,-0.07,0.17
6.356,0.11,0.04,-0.05,0.13
6.366,0.09,0.06,-0.01,0.11
6.376,0.04,0.06,0.02,0.08
6.386,0.01,0.05,0.04,0.06
6.396,-0.01,0.01,0.05,0.06
6.406,-0.04,-0.02,0.08,0.09
6.416,-0.03,-0.04,0.08,0.10
6.426,-0.01,-0.07,0.12,0.14
6.436,0.02,-0.06,0.14,0.15
6.446,0.05,-0.05,0.14,0.16
6.456,0.04,-0.04,0.15,0.16
6.465,0.04,-0.02,0.16,0.17
6.476,0.04,-0.04,0.12,0.13
6.486,0.06,-0.07,0.07,0.11
