time,wx,wy,wz
5.350,0.02,0.00,-0.00
5.360,0.01,0.00,-0.00
5.370,0.01,-0.00,-0.00
5.380,0.01,0.00,-0.00
5.390,0.00,-0.00,-0.00
5.400,-0.00,-0.00,-0.00
5.410,-0.01,0.00,0.00
5.420,-0.02,0.00,0.00
5.430,-0.02,0.00,0.00
5.440,-0.02,0.00,-0.00
5.450,-0.02,0.01,-0.00
5.460,-0.02,0.01,-0.00
5.470,-0.02,0.01,-0.00
5.480,-0.01,0.01,-0.00
5.490,0.00,0.01,-0.00
5.500,0.01,0.00,-0.00
5.510,0.01,-0.00,-0.00
5.520,0.01,0.00,-0.00
5.530,0.01,0.00,-0.00
5.540,0.01,0.00,0.00
5.550,0.02,0.00,-0.00
5.560,0.02,0.01,-0.00
5.570,0.01,0.00,-0.01
5.580,0.01,0.00,-0.01
5.590,0.00,0.00,-0.01
5.600,0.00,-0.00,-0.01
5.610,-0.00,0.00,-0.01
5.620,-0.00,0.00,-0.01
5.630,-0.00,0.00,-0.01
5.640,-0.01,0.00,-0.01
5.650,-0.01,0.00,-0.01
5.660,-0.01,0.00,-0.00
5.670,-0.01,0.00,-0.00
5.680,-0.01,0.01,-0.00
5.690,-0.01,0.01,-0.00
5.700,-0.01,0.01,-0.00
5.710,-0.00,0.00,-0.00
5.720,0.00,0.00,-0.00
5.730,0.00,0.00,-0.00
5.740,0.01,0.00,-0.00
5.750,0.01,0.00,-0.00
5.760,0.01,0.00,-0.00
5.770,0.01,0.00,-0.00
5.780,0.01,0.00,-0.00
5.790,0.00,-0.00,0.00
5.800,0.00,0.00,-0.00
5.810,0.00,0.00,-0.00
5.820,0.00,0.00,-0.00
5.829,0.00,0.00,-0.00
5.839,-0.00,0.00,-0.00
5.850,-0.00,0.00,-0.00
5.859,-0.00,0.00,-0.00
5.869,-0.01,0.00,-0.00
5.879,-0.00,0.00,-0.00
5.889,-0.00,0.00,-0.00
5.899,-0.00,0.00,-0.00
5.909,-0.00,0.00,-0.00
5.919,-0.00,0.00,-0.01
5.929,-0.00,0.00,-0.00
5.939,0.00,0.00,-0.00
5.949,0.00,0.00,-0.00
5.959,0.00,0.00,-0.00
5.969,0.00,0.00,-0.00
5.979,0.00,0.00,-0.01
5.989,0.00,0.00,-0.01
5.999,0.00,0.00,-0.01
6.009,0.00,0.00,-0.01
6.019,0.00,0.00,-0.00
6.029,-0.00,0.00,-0.01
6.039,-0.00,0.00,-0.00
6.049,-0.01,0.00,-0.00
6.059,-0.01,0.00,-0.00
6.069,-0.00,0.00,-0.01
6.079,-0.01,0.00,-0.00
6.089,-0.00,0.00,-0.00
6.099,-0.00,0.00,-0.00
6.109,-0.00,0.00,-0.00
6.119,-0.00,0.00,-0.00
6.129,-0.00,0.01,-0.01
6.139,-0.00,0.01,-0.01
6.149,-0.00,0.01,-0.01
6.159,0.00,0.00,-0.01
6.169,0.01,0.00,-0.00
6.179,0.01,0.01,-0.00
6.189,0.01,0.01,-0.01
6.199,0.00,0.00,-0.01
6.209,0.01,0.01,-0.01
6.219,0.01,0.01,-0.01
6.229,0.01,0.01,-0.01
6.239,0.01,0.00,-0.01
6.249,0.01,0.00,-0.01
6.259,0.01,-0.00,-0.00
6.269,0.00,0.00,-0.00
6.279,-0.00,0.00,-0.00
6.289,-0.01,0.00,-0.00
6.298,-0.01,0.00,0.00
6.308,-0.02,0.00,0.00
6.319,-0.02,0.01,0.00
6.328,-0.02,0.01,0.00
6.338,-0.03,0.01,0.00
6.348,-0.03,0.01,-0.00
6.358,-0.02,0.01,-0.00
6.368,-0.02,0.01,-0.01
6.378,-0.01,0.01,-0.00
6.388,-0.00,0.01,-0.00
6.398,0.01,0.01,-0.00
6.408,0.01,0.00,-0.00
6.418,0.02,0.00,-0.00
6.428,0.02,0.00,-0.00
6.438,0.02,0.00,-0.01
6.448,0.02,-0.00,-0.00
6.458,0.02,-0.00,-0.00
6.468,0.01,-0.00,-0.00
6.478,0.01,-0.00,-0.00
6.488,0.01,0.00,-0.00
6.498,-0.00,0.00,-0.00
6.508,-0.01,0.01,-0.00
6.518,-0.01,0.01,-0.00
6.528,-0.02,0.01,-0.00
6.538,-0.02,0.01,-0.00
6.548,-0.02,0.01,-0.00
6.558,-0.01,0.01,-0.00
6.568,-0.01,0.01,-0.01
6.578,-0.01,0.00,-0.01
6.588,-0.00,0.00,-0.00
6.598,-0.00,0.00,-0.00
6.608,0.00,0.00,-0.00
6.618,0.01,0.00,-0.01
6.628,0.01,0.00,-0.01
6.638,0.01,0.00,-0.01
6.648,0.01,0.00,-0.01
6.658,0.01,0.00,-0.01
6.668,0.01,0.00,-0.01
6.678,0.00,0.00,-0.01
6.688,0.00,0.00,-0.01
6.698,0.00,0.01,-0.01
6.708,0.00,0.01,-0.01
6.718,-0.00,0.01,-0.01
6.728,-0.00,0.01,-0.01
6.738,-0.01,0.00,-0.00
6.748,-0.01,0.00,-0.01
6.757,-0.01,0.00,-0.00
6.768,-0.01,0.00,-0.00
6.778,-0.01,0.00,-0.00
6.787,-0.01,0.00,-0.00
6.798,-0.01,0.00,-0.00
6.808,-0.00,0.00,-0.00
6.818,0.00,0.00,-0.00
6.827,0.00,0.01,0.00
6.837,0.01,0.00,-0.00
6.847,0.01,0.00,0.00
6.857,0.01,0.00,-0.00
6.867,0.01,0.00,-0.00
6.877,0.00,0.00,-0.00
6.887,0.00,0.00,-0.00
6.897,0.00,0.00,-0.00
6.907,0.00,0.00,-0.00
6.917,0.00,0.00,-0.00
6.927,0.00,0.00,-0.00
6.937,0.00,0.00,-0.00
6.947,0.00,0.00,-0.00
6.957,0.00,0.00,-0.00
6.967,0.00,0.00,0.00
6.977,0.00,0.00,-0.00
6.987,0.00,0.00,-0.00
6.997,-0.00,0.00,-0.00
7.007,-0.00,0.00,-0.00
7.017,-0.00,0.00,-0.00
7.027,-0.00,0.00,-0.00
7.037,-0.00,0.00,-0.00
7.047,-0.00,0.00,-0.00
7.057,-0.00,0.00,-0.00
7.067,-0.00,0.00,-0.00
7.077,-0.00,0.00,-0.00
7.087,-0.00,0.00,-0.00
7.097,-0.00,0.00,-0.00
7.107,-0.00,0.00,-0.00
7.117,-0.00,0.00,-0.00
7.127,-0.01,0.00,-0.00
7.137,-0.00,0.00,0.00
7.147,-0.00,0.00,-0.00
7.157,-0.00,0.00,-0.00
7.167,-0.00,0.00,-0.00
7.177,-0.00,0.00,-0.00
7.187,-0.00,0.00,-0.00
7.197,0.00,0.00,-0.00
7.207,0.00,0.00,0.00
7.217,0.00,0.01,0.00
7.227,-0.00,0.00,0.00
7.237,-0.01,0.00,-0.00
7.247,-0.00,0.00,-0.00
7.257,0.00,0.01,-0.00
7.266,0.00,0.00,-0.01
7.277,0.00,0.00,-0.00
7.287,0.00,-0.00,-0.00
7.297,-0.00,-0.00,-0.00
7.306,-0.00,0.00,0.00
7.316,-0.01,-0.00,0.00
7.326,-0.02,0.00,0.00
7.337,-0.02,0.00,0.01
7.346,-0.02,0.00,0.01
7.356,-0.02,0.00,0.01
7.366,-0.02,0.00,0.00
7.376,-0.02,0.00,0.00
7.386,-0.02,0.00,0.00
7.396,-0.01,0.00,-0.00
7.406,-0.01,0.01,-0.00
7.416,-0.00,0.00,-0.00
7.426,-0.00,0.01,-0.00
